,firstname,lastname,title,birthplace,birthdate,deathday,fraktion,jobs,total_speeches,sessions_attended,Beifall_party,Beifall_person,Beifall_total,Beifall_person_other_party_speaker,Beifall_while_speaker,Beifall_per_speaker,Zwischenruf_party,Zwischenruf_person,Zwischenruf_total,Zwischenruf_person_other_party_speaker,Zwischenruf_while_speaker,Zwischenruf_per_speaker,Lachen_party,Lachen_person,Lachen_total,Lachen_person_other_party_speaker,Lachen_while_speaker,Lachen_per_speaker,Zuruf_party,Zuruf_person,Zuruf_total,Zuruf_person_other_party_speaker,Zuruf_while_speaker,Zuruf_per_speaker,Widerspruch_party,Widerspruch_person,Widerspruch_total,Widerspruch_person_other_party_speaker,Widerspruch_while_speaker,Widerspruch_per_speaker,Heiterkeit_party,Heiterkeit_person,Heiterkeit_total,Heiterkeit_person_other_party_speaker,Heiterkeit_while_speaker,Heiterkeit_per_speaker
11001478,angela,merkel,Dr.,Hamburg,17.07.1954,,0.0,"['Bundeskanzlerin', 'Dipl.-Physikerin']",382,231,42896,0,42896,0,755,1.9764397905759161,1138,5,1143,0,502,1.3141361256544504,370,0,370,0,48,0.1256544502617801,234,0,234,0,56,0.14659685863874344,173,0,173,0,8,0.020942408376963352,666,0,666,0,17,0.04450261780104712
11001772,peter,ramsauer,Dr.,München,10.02.1954,,0.0,"['Dipl.-Kaufmann', 'Müllermeister']",2,233,43236,1,43237,0,12,6.0,1152,3,1155,0,2,1.0,359,0,359,0,0,0.0,231,0,231,0,1,0.5,174,0,174,0,0,0.0,675,0,675,0,1,0.5
11001938,wolfgang,schaeuble,Dr.,Freiburg,18.09.1942,,0.0,"['Präsident DBT a. D.', 'Rechtsanwalt']",7,238,44084,0,44084,0,5,0.7142857142857143,1178,2,1180,0,0,0.0,378,0,378,0,0,0.0,239,0,239,0,0,0.0,176,0,176,0,0,0.0,695,0,695,0,1,0.14285714285714285
11002003,christian,schmidt,,"Obernzenn, Landkrs. Neustadt/Aisch-Bad Windsheim",26.08.1957,,0.0,"['Bundesminister a. D.', 'Rechtsanwalt']",68,231,42737,4,42741,0,139,2.0441176470588234,1143,15,1158,0,115,1.6911764705882353,360,0,360,0,4,0.058823529411764705,228,1,229,0,14,0.20588235294117646,171,0,171,0,1,0.014705882352941176,672,0,672,0,10,0.14705882352941177
11002019,ulla,schmidt,,Aachen,13.06.1949,,1.0,"['Vizepräsidentin DBT a. D.', 'Lehrerin', 'Bundesministerin a. D.']",14,231,43826,37,43863,0,74,5.285714285714286,1386,11,1397,0,16,1.1428571428571428,601,0,601,0,1,0.07142857142857142,577,0,577,0,6,0.42857142857142855,270,0,270,0,1,0.07142857142857142,573,0,573,0,1,0.07142857142857142
11002190,hermann,solms,Dr.,Lich / Krs. Gießen,24.11.1940,,3.0,"['Vizepräsident DBT a. D.', 'Bankkaufmann', 'Dipl.-Agraringenieur']",11,219,25442,2,25444,0,65,5.909090909090909,943,0,943,0,16,1.4545454545454546,295,0,295,0,1,0.09090909090909091,212,0,212,0,0,0.0,95,0,95,0,0,0.0,382,0,382,0,3,0.2727272727272727
11002280,michael,stuebgen,,Lauchhammer / Kreis Senftenberg,17.10.1959,,0.0,"['Pfarrer', 'Baufacharbeiter', 'Parl. Staatssekretär']",3,235,43443,0,43443,0,9,3.0,1151,0,1151,0,14,4.666666666666667,371,0,371,0,0,0.0,235,0,235,0,0,0.0,170,0,170,0,0,0.0,685,0,685,0,0,0.0
11002617,peter,altmaier,,Ensdorf,18.06.1958,,0.0,"['Bundesminister', 'Jurist']",135,229,42602,0,42602,0,214,1.5851851851851853,1133,8,1141,0,172,1.2740740740740741,365,0,365,0,8,0.05925925925925926,233,0,233,0,21,0.15555555555555556,169,0,169,0,4,0.02962962962962963,665,0,665,0,8,0.05925925925925926
11002621,doris,barnett,,Ludwigshafen,22.05.1953,,1.0,['Juristin'],11,239,45205,4,45209,0,92,8.363636363636363,1433,0,1433,0,26,2.3636363636363638,622,0,622,0,2,0.18181818181818182,594,0,594,0,1,0.09090909090909091,280,0,280,0,1,0.09090909090909091,593,0,593,0,0,0.0
11002655,dagmar,freitag,,Letmathe,03.03.1953,,1.0,['Lehrerin'],8,233,44169,4,44173,0,48,6.0,1401,14,1415,0,16,2.0,604,0,604,0,2,0.25,571,0,571,0,2,0.25,274,0,274,0,1,0.125,573,0,573,0,1,0.125
11002666,hermann,groehe,,Uedem / Kreis Kleve,25.02.1961,,0.0,"['Bundesminister a. D.', 'Rechtsanwalt']",24,238,44072,37,44109,0,196,8.166666666666666,1179,50,1229,0,53,2.2083333333333335,375,0,375,0,0,0.0,239,0,239,0,6,0.25,176,0,176,0,0,0.0,693,0,693,0,3,0.125
11002667,manfred,grund,,Zeitz,03.07.1955,,0.0,['Elektroingenieur'],14,227,42209,66,42275,0,40,2.857142857142857,1111,202,1313,0,23,1.6428571428571428,368,1,369,1,0,0.0,228,4,232,0,1,0.07142857142857142,170,0,170,0,0,0.0,671,2,673,0,1,0.07142857142857142
11002672,barbara,hendricks,Dr.,Kleve,29.04.1952,,1.0,"['Bundesministerin a. D.', 'Historikerin']",52,226,42544,37,42581,0,129,2.480769230769231,1355,69,1424,0,107,2.0576923076923075,579,0,579,0,3,0.057692307692307696,555,24,579,0,10,0.19230769230769232,261,0,261,0,2,0.038461538461538464,551,0,551,0,5,0.09615384615384616
11002716,karl,lamers,Dr.,Duisburg-Hamborn,12.02.1951,,0.0,['Rechtsanwalt'],3,217,40095,5,40100,0,14,4.666666666666667,1075,7,1082,0,8,2.6666666666666665,349,0,349,0,1,0.3333333333333333,215,0,215,0,0,0.0,165,0,165,0,0,0.0,628,0,628,0,1,0.3333333333333333
11002720,steffi,lemke,,Dessau,19.01.1968,,2.0,['Dipl.-Agraringenieurin'],34,239,31632,26,31658,0,164,4.823529411764706,953,1914,2867,0,60,1.7647058823529411,590,0,590,0,0,0.0,698,52,750,0,8,0.23529411764705882,291,1,292,0,1,0.029411764705882353,372,2,374,0,0,0.0
11002733,michael,meister,Dr.,Lorsch,09.06.1961,,0.0,['Diplom Mathematiker'],9,239,44253,0,44253,0,24,2.6666666666666665,1180,2,1182,0,17,1.8888888888888888,379,0,379,0,1,0.1111111111111111,239,0,239,0,3,0.3333333333333333,176,0,176,0,0,0.0,696,0,696,0,0,0.0
11002738,hans,michelbach,,Gemünden am Main,03.05.1949,,0.0,"['Selbständiger Unternehmer', 'Bürgermeister a. D.']",49,232,42963,8,42971,0,368,7.510204081632653,1134,202,1336,0,301,6.142857142857143,359,3,362,3,4,0.08163265306122448,232,10,242,0,20,0.40816326530612246,173,0,173,0,3,0.061224489795918366,667,0,667,0,7,0.14285714285714285
11002742,gerd,mueller,Dr.,Krumbach / Schwaben,25.08.1955,,0.0,"['Bundesminister', 'Dipl.-Wirtschaftspädagoge']",117,218,40072,6,40078,0,184,1.5726495726495726,1078,38,1116,0,92,0.7863247863247863,332,0,332,0,4,0.03418803418803419,213,0,213,0,3,0.02564102564102564,158,0,158,0,0,0.0,625,0,625,0,8,0.06837606837606838
11002746,cem,oezdemir,,Bad Urach,21.12.1965,,2.0,['Dipl.-Sozialpädagoge'],23,227,30114,29,30143,0,168,7.304347826086956,906,30,936,0,119,5.173913043478261,559,0,559,0,11,0.4782608695652174,655,1,656,0,10,0.43478260869565216,277,0,277,0,3,0.13043478260869565,363,0,363,0,6,0.2608695652173913
11002754,thomas,rachel,,Düren-Birkesdorf,17.05.1962,,0.0,['Politikwissenschaftler'],7,238,44056,1,44057,0,43,6.142857142857143,1178,1,1179,0,13,1.8571428571428572,379,0,379,0,0,0.0,238,0,238,0,0,0.0,174,1,175,0,0,0.0,693,0,693,0,0,0.0
11002765,norbert,roettgen,Dr.,Meckenheim,02.07.1965,,0.0,['Rechtsanwalt'],17,235,43556,17,43573,0,112,6.588235294117647,1151,4,1155,0,55,3.235294117647059,376,0,376,0,1,0.058823529411764705,234,0,234,0,10,0.5882352941176471,174,0,174,0,2,0.11764705882352941,685,0,685,0,0,0.0
11002798,johannes,selle,,Lobenstein / Bez. Gera,13.01.1956,,0.0,['Diplom Mathematiker'],11,238,43873,6,43879,0,44,4.0,1168,9,1177,0,14,1.2727272727272727,375,0,375,0,1,0.09090909090909091,238,1,239,0,1,0.09090909090909091,171,0,171,0,0,0.0,692,0,692,0,0,0.0
11002799,bernd,siebert,,Gudensberg,17.10.1949,,0.0,['selbstständiger Kaufmann'],0,198,36511,0,36511,0,0,,992,0,992,0,0,,307,0,307,0,0,,204,0,204,0,0,,155,0,155,0,0,,571,0,571,0,0,
11002812,max,straubinger,,Oberlucken,12.08.1954,,0.0,['Landwirtschaftsmeister'],48,239,44253,4,44257,0,237,4.9375,1180,24,1204,0,291,6.0625,379,1,380,1,3,0.0625,239,1,240,0,29,0.6041666666666666,176,0,176,0,9,0.1875,696,0,696,0,20,0.4166666666666667
11002823,ute,vogt,,Heidelberg,03.10.1964,,1.0,['Rechtsanwältin'],15,230,43559,23,43582,0,88,5.866666666666666,1385,19,1404,0,69,4.6,599,0,599,0,3,0.2,570,3,573,0,5,0.3333333333333333,272,0,272,0,0,0.0,570,0,570,0,0,0.0
11003033,norbert,barthle,,Schwäbisch Gmünd,01.02.1952,,0.0,"['Parl. Staatssekretär', 'Ministerialrat a. D.']",8,231,42658,1,42659,0,27,3.375,1138,3,1141,0,31,3.875,367,0,367,0,0,0.0,218,0,218,0,2,0.25,169,0,169,0,0,0.0,674,0,674,0,1,0.125
11003034,dietmar,bartsch,Dr.,Stralsund,31.03.1958,,5.0,['Wirtschaftswissenschaftler'],41,238,29933,74,30007,0,602,14.682926829268293,1159,124,1283,0,287,7.0,441,0,441,0,8,0.1951219512195122,669,9,678,0,21,0.5121951219512195,259,0,259,0,8,0.1951219512195122,231,0,231,0,11,0.2682926829268293
11003050,lothar,binding,,Sandershausen,01.04.1950,,1.0,"['Starkstromelektriker', 'Mathematiker']",77,238,45063,135,45198,0,436,5.662337662337662,1431,227,1658,0,337,4.376623376623376,616,0,616,0,12,0.15584415584415584,593,11,604,0,33,0.42857142857142855,279,0,279,0,4,0.05194805194805195,590,1,591,0,25,0.3246753246753247
11003055,ralf,brauksiepe,Dr.,Hattingen / Ennepe-Ruhr-Kreis,14.03.1967,,0.0,['Wissenschaftlicher Assistent'],3,239,44253,0,44253,0,10,3.3333333333333335,1180,0,1180,0,3,1.0,379,0,379,0,0,0.0,239,0,239,0,0,0.0,176,0,176,0,0,0.0,696,0,696,0,1,0.3333333333333333
11003068,ekin,deligoez,,Tokat,21.04.1971,,2.0,['Dipl.-Verwaltungswissenschaftlerin'],46,236,31135,25,31160,0,346,7.521739130434782,938,47,985,0,96,2.0869565217391304,586,2,588,2,5,0.10869565217391304,681,3,684,0,8,0.17391304347826086,284,0,284,0,1,0.021739130434782608,367,0,367,0,3,0.06521739130434782
11003070,marie-luise,doett,,"Nordhorn / Krs. Grafschaft Bentheim, NDS",20.04.1953,,0.0,['Einzelhandelskauffrau'],13,239,44253,47,44300,0,74,5.6923076923076925,1180,28,1208,0,35,2.6923076923076925,379,0,379,0,2,0.15384615384615385,239,0,239,0,10,0.7692307692307693,176,0,176,0,0,0.0,696,0,696,0,0,0.0
11003118,axel,fischer,,Karlsruhe,05.05.1966,,0.0,"['Dipl.-Ingenieur', 'Elektroinstallateur']",9,221,40913,3,40916,0,42,4.666666666666667,1095,2,1097,0,25,2.7777777777777777,354,0,354,0,1,0.1111111111111111,223,0,223,0,2,0.2222222222222222,168,0,168,0,0,0.0,663,0,663,0,0,0.0
11003124,hans-peter,friedrich,Dr.,Naila,10.03.1957,,0.0,"['Vizepräsident DBT a. D.', 'Rechtsanwalt']",1,239,44253,1,44254,0,0,0.0,1180,2,1182,0,0,0.0,379,0,379,0,0,0.0,239,0,239,0,0,0.0,176,0,176,0,0,0.0,696,0,696,0,0,0.0
11003132,katrin,goering-eckardt,,Friedrichroda / Thüringen,03.05.1966,,2.0,,41,225,29813,15,29828,0,442,10.78048780487805,898,253,1151,0,208,5.073170731707317,545,2,547,1,10,0.24390243902439024,667,21,688,0,25,0.6097560975609756,277,0,277,0,7,0.17073170731707318,353,0,353,0,2,0.04878048780487805
11003142,hubertus,heil,,Hildesheim,03.11.1972,,1.0,"['Politikwissenschaftler', 'Bundesminister']",140,233,44201,2,44203,0,452,3.2285714285714286,1389,13,1402,0,126,0.9,610,1,611,1,4,0.02857142857142857,578,1,579,0,17,0.12142857142857143,271,0,271,0,2,0.014285714285714285,583,0,583,0,22,0.15714285714285714
11003148,gustav,herzog,,Harxheim / Pfalz,11.10.1958,,1.0,['Chemielaborant'],15,197,37646,2,37648,0,73,4.866666666666666,1228,117,1345,0,30,2.0,522,0,522,0,2,0.13333333333333333,502,1,503,0,1,0.06666666666666667,238,0,238,0,0,0.0,472,0,472,0,7,0.4666666666666667
11003152,martin,hohmann,,Fulda,04.02.1948,,4.0,"['Bürgermeister a. D.', 'Volljurist']",24,239,21170,8,21178,0,149,6.208333333333333,3030,33,3063,0,190,7.916666666666667,885,0,885,0,9,0.375,880,0,880,0,14,0.5833333333333334,261,0,261,0,1,0.041666666666666664,144,0,144,0,2,0.08333333333333333
11003157,johannes,kahrs,,Bremen,15.09.1963,,1.0,['Jurist'],24,239,45205,23,45228,0,196,8.166666666666666,1433,398,1831,0,173,7.208333333333333,622,2,624,2,22,0.9166666666666666,594,10,604,0,29,1.2083333333333333,280,0,280,0,4,0.16666666666666666,593,1,594,0,8,0.3333333333333333
11003162,anette,kramme,,Essen,10.10.1967,,1.0,"['Rechtsanwältin', 'Fachanwältin für Arbeitsrecht', 'Parl. Staatssekretärin']",5,238,45065,0,45065,0,9,1.8,1431,0,1431,0,2,0.4,620,0,620,0,0,0.0,592,0,592,0,0,0.0,278,0,278,0,0,0.0,593,0,593,0,0,0.0
11003167,christine,lambrecht,,Mannheim,19.06.1965,,1.0,"['Rechtsanwältin', 'Bundesministerin a. D.']",109,238,45034,0,45034,0,294,2.697247706422018,1431,14,1445,0,117,1.073394495412844,621,1,622,1,0,0.0,594,1,595,0,12,0.11009174311926606,280,0,280,0,1,0.009174311926605505,592,0,592,0,3,0.027522935779816515
11003168,christian,lange,,Saarlouis,27.02.1964,,1.0,['Jurist'],27,238,44979,0,44979,0,68,2.5185185185185186,1422,8,1430,0,15,0.5555555555555556,617,0,617,0,0,0.0,593,0,593,0,2,0.07407407407407407,279,0,279,0,0,0.0,587,0,587,0,0,0.0
11003196,andrea,nahles,,Mendig,20.06.1970,,1.0,"['Bundesministerin a. D.', 'Literaturwissenschaftlerin M. A.']",15,229,43344,16,43360,0,281,18.733333333333334,1372,194,1566,0,70,4.666666666666667,600,2,602,2,6,0.4,562,3,565,0,8,0.5333333333333333,271,0,271,0,0,0.0,567,0,567,0,2,0.13333333333333333
11003197,kersten,naumann,,"Bad Frankenhausen / Kyffheuserkreis, Thüringen",07.12.1958,,5.0,['Agraringenieurin'],3,239,30020,0,30020,0,10,3.3333333333333335,1160,0,1160,0,1,0.3333333333333333,441,0,441,0,0,0.0,670,0,670,0,0,0.0,259,0,259,0,0,0.0,232,0,232,0,0,0.0
11003199,dietmar,nietan,,Düren,25.05.1964,,1.0,['Angestellter'],5,225,43036,1,43037,0,33,6.6,1383,11,1394,0,16,3.2,592,0,592,0,0,0.0,578,0,578,0,3,0.6,269,0,269,0,0,0.0,553,0,553,0,0,0.0
11003206,petra,pau,,Berlin,09.08.1963,,5.0,"['Vizepräsidentin DBT', 'Lehrerin']",26,236,29709,4,29713,0,151,5.8076923076923075,1150,6,1156,0,31,1.1923076923076923,433,0,433,0,0,0.0,661,1,662,0,0,0.0,257,0,257,0,0,0.0,225,0,225,0,0,0.0
11003210,rené,roespel,,Hagen / Westfalen,09.07.1964,,1.0,['Dipl.-Biologe'],37,234,44509,114,44623,0,239,6.45945945945946,1409,169,1578,0,117,3.1621621621621623,613,3,616,3,3,0.08108108108108109,588,37,625,0,19,0.5135135135135135,277,3,280,0,6,0.16216216216216217,579,0,579,0,9,0.24324324324324326
11003211,ernst,rossmann,Dr.,Elmshorn,04.02.1951,,1.0,['Dipl.-Psychologe'],18,233,44368,56,44424,0,87,4.833333333333333,1408,15,1423,0,34,1.8888888888888888,606,0,606,0,3,0.16666666666666666,579,0,579,0,3,0.16666666666666666,274,0,274,0,0,0.0,590,0,590,0,3,0.16666666666666666
11003212,claudia,roth,,Ulm,15.05.1955,,2.0,"['Vizepräsidentin a. D. DBT', 'Dramaturgin']",11,231,30892,66,30958,0,72,6.545454545454546,937,223,1160,0,41,3.727272727272727,583,9,592,9,2,0.18181818181818182,679,14,693,0,3,0.2727272727272727,285,3,288,0,1,0.09090909090909091,363,3,366,0,0,0.0
11003213,michael,roth,,Heringen,24.08.1970,,1.0,['Dipl.-Politologe'],26,220,41695,0,41695,0,133,5.115384615384615,1328,1,1329,0,76,2.923076923076923,581,0,581,0,1,0.038461538461538464,561,0,561,0,11,0.4230769230769231,261,0,261,0,0,0.0,533,0,533,0,0,0.0
11003216,anita,schaefer,,Saalstadt,09.07.1951,,0.0,['Angestellte'],13,178,32532,0,32532,0,50,3.8461538461538463,897,3,900,0,40,3.076923076923077,270,0,270,0,3,0.23076923076923078,176,0,176,0,3,0.23076923076923078,132,0,132,0,1,0.07692307692307693,476,1,477,0,2,0.15384615384615385
11003218,carsten,schneider,,Erfurt,23.01.1976,,1.0,['Bankkaufmann'],38,236,44641,65,44706,0,201,5.2894736842105265,1402,692,2094,0,142,3.736842105263158,616,4,620,4,12,0.3157894736842105,592,14,606,0,19,0.5,277,0,277,0,3,0.07894736842105263,582,1,583,0,4,0.10526315789473684
11003234,ewald,schurer,,Ebersberg,15.04.1954,03.12.2017,1.0,"['Dipl.-Betriebswirt  (FH)', 'Marketing-', 'Kommunikationsberater']",0,239,45205,0,45205,0,0,,1433,0,1433,0,0,,622,0,622,0,0,,594,0,594,0,0,,280,0,280,0,0,,593,0,593,0,0,
11003246,juergen,trittin,,Bremen,25.07.1954,,2.0,['Dipl.-Sozialwirt'],37,232,30704,33,30737,0,185,5.0,933,113,1046,0,146,3.945945945945946,578,3,581,3,6,0.16216216216216217,675,28,703,0,11,0.2972972972972973,284,2,286,0,0,0.0,359,0,359,0,7,0.1891891891891892
11003248,arnold,vaatz,,Weida,09.08.1955,,0.0,"['Diplom-Mathematiker', 'Staatsminister a. D.']",3,230,42555,11,42566,0,20,6.666666666666667,1131,5,1136,0,22,7.333333333333333,369,0,369,0,1,0.3333333333333333,232,0,232,0,2,0.6666666666666666,173,0,173,0,0,0.0,675,0,675,0,1,0.3333333333333333
11003255,peter,weiss,,Feiburg / Breisgau,12.03.1956,,0.0,"['Referatsleiter', 'Geschäftsführer']",58,238,44109,34,44143,0,498,8.586206896551724,1173,235,1408,0,294,5.068965517241379,377,4,381,4,8,0.13793103448275862,238,5,243,0,20,0.3448275862068966,174,0,174,0,2,0.034482758620689655,694,0,694,0,8,0.13793103448275862
11003259,annette,widmann-mauz,,Tübingen,13.06.1966,,0.0,,9,236,43614,2,43616,0,62,6.888888888888889,1165,2,1167,0,11,1.2222222222222223,375,0,375,0,0,0.0,238,0,238,0,4,0.4444444444444444,176,0,176,0,0,0.0,692,0,692,0,0,0.0
11003264,klaus-peter,willsch,,Bad Schwalbach,28.02.1961,,0.0,['Dipl.-Volkswirt'],26,238,44097,13,44110,0,110,4.230769230769231,1179,53,1232,0,201,7.730769230769231,377,1,378,1,4,0.15384615384615385,238,1,239,0,14,0.5384615384615384,176,0,176,0,5,0.19230769230769232,694,2,696,0,8,0.3076923076923077
11003422,ingrid,arndt-brauer,,Marburg,20.03.1961,,1.0,"['Dipl.-Kauffrau', 'Dipl.-Soziologin']",28,239,45205,21,45226,0,113,4.035714285714286,1433,55,1488,0,82,2.9285714285714284,622,0,622,0,4,0.14285714285714285,594,0,594,0,4,0.14285714285714285,280,0,280,0,2,0.07142857142857142,593,0,593,0,2,0.07142857142857142
11003434,carola,reimann,Dr.,Goch / Kreis Kleve,25.08.1967,,1.0,['Biotechnologin'],0,239,45205,0,45205,0,0,,1433,0,1433,0,0,,622,0,622,0,0,,594,0,594,0,0,,280,0,280,0,0,,593,0,593,0,0,
11003440,kerstin,griese,,Münster / Westfalen,06.12.1966,,1.0,"['Historikerin', 'Parl. Staatssekretärin']",22,235,44544,7,44551,0,144,6.545454545454546,1408,3,1411,0,24,1.0909090909090908,607,0,607,0,0,0.0,589,0,589,0,1,0.045454545454545456,277,0,277,0,0,0.0,584,0,584,0,0,0.0
11003450,ulrich,kelber,,Bamberg,29.03.1968,,1.0,['Dipl.-Informatiker'],1,239,45205,0,45205,0,4,4.0,1433,40,1473,0,0,0.0,622,0,622,0,0,0.0,594,6,600,0,0,0.0,280,0,280,0,0,0.0,593,0,593,0,1,1.0
11003493,kerstin,andreae,,Schramberg,21.10.1968,,2.0,['Dipl.-Volkswirtin'],14,238,31507,8,31515,0,85,6.071428571428571,950,48,998,0,43,3.0714285714285716,589,0,589,0,3,0.21428571428571427,692,5,697,0,2,0.14285714285714285,291,0,291,0,2,0.14285714285714285,371,0,371,0,2,0.14285714285714285
11003496,soeren,bartol,,Hamburg,04.09.1974,,1.0,['Diplom-Politologe'],29,239,45205,30,45235,0,227,7.827586206896552,1433,240,1673,0,125,4.310344827586207,622,3,625,2,3,0.10344827586206896,594,4,598,0,5,0.1724137931034483,280,0,280,0,0,0.0,593,2,595,0,1,0.034482758620689655
11003501,veronika,bellmann,,Karl-Marx-Stadt / Chemnitz,20.11.1960,,0.0,"['Verwaltungs-Betriebswirtin (VWA)', 'Fachkauffrau für Marketing', 'Vertrieb (VWA)']",1,217,40088,2,40090,0,7,7.0,1063,0,1063,0,2,2.0,339,0,339,0,0,0.0,225,0,225,0,0,0.0,165,0,165,0,0,0.0,621,0,621,0,1,1.0
11003510,helge,braun,Prof. Dr.,Gießen,18.10.1972,,0.0,[' Arzt'],110,234,43393,1,43394,0,14,0.12727272727272726,1165,3,1168,0,31,0.2818181818181818,375,0,375,0,1,0.00909090909090909,237,0,237,0,4,0.03636363636363636,175,0,175,0,0,0.0,686,0,686,0,1,0.00909090909090909
11003512,marco,buelow,,Dortmund,14.06.1971,,,['Freier Journalist'],31,221,0,0,0,0,135,4.354838709677419,0,0,0,0,47,1.5161290322580645,0,0,0,0,0,0.0,0,0,0,0,4,0.12903225806451613,0,0,0,0,1,0.03225806451612903,0,0,0,0,1,0.03225806451612903
11003514,gitta,connemann,,Leer,10.05.1964,,0.0,"['Verkäuferin', 'Volljuristin']",29,232,42884,58,42942,0,203,7.0,1143,93,1236,0,90,3.103448275862069,360,1,361,1,5,0.1724137931034483,234,7,241,0,14,0.4827586206896552,166,1,167,0,0,0.0,670,2,672,0,9,0.3103448275862069
11003516,alexander,dobrindt,,Peißenberg,07.06.1970,,0.0,['Diplom-Soziologe'],31,239,44253,17,44270,0,279,9.0,1180,289,1469,0,244,7.870967741935484,379,0,379,0,7,0.22580645161290322,239,15,254,0,25,0.8064516129032258,176,0,176,0,7,0.22580645161290322,696,0,696,0,1,0.03225806451612903
11003525,enak,ferlemann,,Bad Rothenfelde,12.07.1963,,0.0,['Geschäftsführer'],10,239,44253,0,44253,0,25,2.5,1180,0,1180,0,31,3.1,379,0,379,0,2,0.2,239,0,239,0,4,0.4,176,0,176,0,0,0.0,696,0,696,0,2,0.2
